Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Lebanon,Household,Offline,M,10/15/2020,198997008.0,6492.0,660.77,496.9,4289718.84,3225874.8,1063844.04
Europe,Finland,Beverages,Online,H,3/16/2018,566428315.0,7581.0,51.81,34.71,392771.61,263136.51,129635.1
Asia,Taiwan,Baby Food,Online,M,5/27/2020,369560611.0,52.0,236.58,147.74,12302.16,7682.48,4619.68
Europe,Belgium,Snacks,Online,M,1/12/2023,519380223.0,5005.0,167.26,106.82,837136.3,534634.1,302502.2
Asia,Laos,Office Supplies,Online,H,8/10/2018,197185981.0,568.0,601.4,484.81,341595.2,275372.08,66223.12
Europe,San Marino,Office Supplies,Online,H,4/13/2020,904589211.0,6905.0,699.12,563.58,4827423.6,3891519.9,935903.7
Australia and Oceania,Tuvalu,Household,Offline,H,11/23/2022,613513743.0,1205.0,685.69,515.64,826256.45,621346.2,204910.25
Australia and Oceania,Kiribati,Clothes,Offline,M,10/22/2016,516195905.0,2694.0,107.69,35.32,290116.86,95152.08,194964.78
Asia,Kyrgyzstan,Vegetables,Offline,H,12/3/2019,975184524.0,7626.0,158.59,93.61,1209407.34,713869.86,495537.48
Australia and Oceania,Samoa ,Clothes,Online,M,12/8/2020,173340928.0,4287.0,117.99,38.7,505823.13,165906.9,339916.23
North America,Central African Republic,Personal Care,Offline,H,12/16/2020,863838946.0,7995.0,80.44,55.77,643117.8,445881.15,197236.65
Asia,Uzbekistan,Cereal,Offline,L,3/2/2022,920164906.0,6099.0,213.22,121.39,1300428.78,740357.61,560071.17
Central America and the Caribbean,Dominica,Meat,Online,M,6/12/2016,986117637.0,2977.0,452.67,391.29,1347598.59,1164870.33,182728.26
Middle East and North Africa,Qatar,Cereal,Online,L,6/18/2019,425808465.0,5042.0,197.33,112.34,994937.86,566418.28,428519.58
Central America and the Caribbean,Saint Lucia,Beverages,Online,L,6/12/2023,473661220.0,5736.0,43.24,28.97,248024.64,166171.92,81852.72
Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/4/2023,184412229.0,531.0,271.86,169.77,144357.66,90147.87,54209.79
Asia,South Korea,Vegetables,Offline,H,8/12/2022,483110320.0,1934.0,147.2,86.88,284684.8,168025.92,116658.88
Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,9/22/2022,115116822.0,4481.0,685.69,515.64,3072576.89,2310582.84,761994.05
Middle East and North Africa,Somalia,Baby Food,Online,M,1/29/2016,596105563.0,9738.0,250.04,156.15,2434889.52,1520588.7,914300.82
North America,Nigeria,Snacks,Online,C,12/10/2020,362062871.0,1304.0,165.45,105.66,215746.8,137780.64,77966.16
North America,South Africa,Beverages,Online,H,7/28/2022,619287574.0,9810.0,48.07,32.2,471566.7,315882.0,155684.7
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,6/10/2022,394391000.0,7916.0,112.02,36.74,886750.32,290833.84,595916.48
North America,Sudan,Beverages,Online,M,4/16/2019,584296977.0,5315.0,47.12,31.57,250442.8,167794.55,82648.25
Middle East and North Africa,Algeria,Clothes,Offline,M,7/5/2020,806241834.0,3730.0,117.99,38.7,440102.7,144351.0,295751.7
Europe,Netherlands,Meat,Offline,M,3/8/2021,747774398.0,1916.0,418.24,361.54,801347.84,692710.64,108637.2
Central America and the Caribbean,Panama,Meat,Online,H,11/24/2017,616755998.0,660.0,436.35,377.19,287991.0,248945.4,39045.6
Australia and Oceania,Solomon Islands,Baby Food,Offline,C,10/20/2022,691360461.0,7779.0,257.74,160.95,2004959.46,1252030.05,752929.41
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,C,4/1/2019,870074117.0,3121.0,47.12,31.57,147061.52,98529.97,48531.55
Middle East and North Africa,Iran,Office Supplies,Online,H,3/1/2016,221695792.0,3566.0,641.44,517.08,2287375.04,1843907.28,443467.76
Australia and Oceania,Vanuatu,Fruits,Online,M,7/13/2021,135336816.0,8026.0,9.73,7.21,78092.98,57867.46,20225.52
Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,L,4/29/2018,270421016.0,2443.0,601.4,484.81,1469220.2,1184390.83,284829.37
North America,Equatorial Guinea,Household,Online,H,6/16/2016,806684720.0,4790.0,725.57,545.63,3475480.3,2613567.7,861912.6
Europe,Russia,Household,Online,M,7/10/2021,194176757.0,72.0,680.42,511.68,48990.24,36840.96,12149.28
Middle East and North Africa,Azerbaijan,Baby Food,Offline,H,6/28/2021,103258454.0,5326.0,230.66,144.04,1228495.16,767157.04,461338.12
Middle East and North Africa,Iraq,Office Supplies,Online,H,4/21/2020,474603641.0,4619.0,699.12,563.58,3229235.28,2603176.02,626059.26
North America,Mauritius ,Cereal,Online,H,12/26/2018,869198644.0,4049.0,212.12,120.77,858873.88,488997.73,369876.15
North America,Eritrea,Household,Online,H,11/1/2023,918342292.0,6747.0,632.31,475.5,4266195.57,3208198.5,1057997.07
Europe,Ukraine,Cosmetics,Online,H,1/22/2017,773645913.0,7873.0,439.75,264.87,3462151.75,2085321.51,1376830.24
Asia,Myanmar,Cosmetics,Online,C,6/13/2020,657033336.0,9620.0,444.24,267.57,4273588.8,2574023.4,1699565.4
Europe,Bosnia and Herzegovina,Meat,Online,H,7/24/2018,410740888.0,6211.0,391.97,338.82,2434525.67,2104411.02,330114.65
Europe,Latvia,Meat,Offline,M,12/15/2017,847317397.0,8902.0,436.35,377.19,3884387.7,3357745.38,526642.32
Europe,Serbia,Beverages,Online,L,9/3/2018,599624192.0,978.0,51.81,34.71,50670.18,33946.38,16723.8
Asia,Mongolia,Beverages,Offline,H,1/19/2018,170835101.0,2758.0,51.81,34.71,142891.98,95730.18,47161.8
Central America and the Caribbean,Grenada,Cereal,Online,H,1/17/2022,584436452.0,6588.0,213.22,121.39,1404693.36,799717.32,604976.04
North America,Namibia,Office Supplies,Online,H,10/2/2018,234227073.0,1851.0,601.4,484.81,1113191.4,897383.31,215808.09
Europe,Portugal,Office Supplies,Online,M,1/21/2020,734318292.0,9956.0,699.12,563.58,6960438.72,5611002.48,1349436.24
Central America and the Caribbean,Barbados,Snacks,Online,H,12/21/2019,169133937.0,9345.0,154.99,98.98,1448381.55,924968.1,523413.45
Asia,Sri Lanka,Cereal,Online,C,2/24/2023,743410336.0,494.0,200.03,113.88,98814.82,56256.72,42558.1
Europe,Poland,Household,Offline,L,7/7/2021,232196319.0,905.0,680.42,511.68,615780.1,463070.4,152709.7
North America,Senegal,Beverages,Offline,L,6/30/2020,530853211.0,117.0,48.74,32.65,5702.58,3820.05,1882.53
Australia and Oceania,Kiribati,Fruits,Online,L,12/7/2017,905054843.0,4695.0,9.88,7.33,46386.6,34414.35,11972.25
Middle East and North Africa,Somalia,Household,Offline,C,9/27/2022,240787541.0,3239.0,685.69,515.64,2220949.91,1670157.96,550791.95
North America,Burundi,Meat,Online,L,5/22/2016,194350135.0,1379.0,452.67,391.29,624231.93,539588.91,84643.02
Asia,Malaysia,Household,Online,L,4/12/2019,242353951.0,6775.0,675.75,508.17,4578206.25,3442851.75,1135354.5
Central America and the Caribbean,Haiti,Vegetables,Offline,C,10/17/2018,831722819.0,4120.0,151.37,89.34,623644.4,368080.8,255563.6
Europe,Liechtenstein,Cosmetics,Online,L,7/15/2018,229693067.0,138.0,419.34,252.57,57868.92,34854.66,23014.26
North America,Zambia,Cereal,Offline,H,5/19/2019,373813521.0,8583.0,197.33,112.34,1693683.39,964214.22,729469.17
Europe,United Kingdom,Beverages,Online,C,4/8/2021,121945512.0,5242.0,49.88,33.42,261470.96,175187.64,86283.32
Australia and Oceania,Vanuatu,Fruits,Offline,L,11/6/2023,202262866.0,2932.0,9.76,7.24,28616.32,21227.68,7388.64
Australia and Oceania,Tuvalu,Personal Care,Offline,M,12/21/2022,963251912.0,6501.0,89.69,62.19,583074.69,404297.19,178777.5
Central America and the Caribbean,Antigua and Barbuda ,Household,Online,M,8/21/2016,123711478.0,7830.0,725.57,545.63,5681213.1,4272282.9,1408930.2
Central America and the Caribbean,Haiti,Clothes,Offline,L,8/12/2016,422752892.0,830.0,107.69,35.32,89382.7,29315.6,60067.1
Europe,Slovenia,Fruits,Online,H,10/22/2018,169799983.0,6443.0,8.73,6.47,56247.39,41686.21,14561.18
Europe,Malta,Vegetables,Online,M,3/11/2020,894589078.0,7643.0,167.61,98.93,1281043.23,756121.99,524921.24
Asia,Bhutan,Office Supplies,Offline,M,8/3/2022,597169005.0,4434.0,643.16,518.47,2851771.44,2298895.98,552875.46
North America,Eritrea,Office Supplies,Offline,H,4/26/2023,497901093.0,8853.0,618.24,498.38,5473278.72,4412158.14,1061120.58
Europe,Ukraine,Personal Care,Online,M,7/16/2016,987459170.0,9967.0,82.74,57.37,824669.58,571806.79,252862.79
Asia,Singapore,Personal Care,Offline,M,1/22/2017,276829564.0,8875.0,81.65,56.61,724643.75,502413.75,222230.0
North America,Cameroon,Household,Offline,H,5/22/2023,247311103.0,3706.0,632.31,475.5,2343340.86,1762203.0,581137.86
Europe,Cyprus,Fruits,Offline,M,7/12/2023,600515115.0,4622.0,9.76,7.24,45110.72,33463.28,11647.44
Europe,Poland,Office Supplies,Offline,M,11/27/2023,208365428.0,8815.0,618.24,498.38,5449785.6,4393219.7,1056565.9
Europe,Monaco,Personal Care,Online,L,6/8/2020,263098371.0,5509.0,80.44,55.77,443143.96,307236.93,135907.03
Australia and Oceania,Vanuatu,Office Supplies,Online,L,11/21/2019,227262771.0,959.0,640.48,516.31,614220.32,495141.29,119079.03
North America,Gabon,Office Supplies,Offline,H,7/14/2016,983719956.0,3450.0,641.44,517.08,2212968.0,1783926.0,429042.0
North America,Djibouti,Baby Food,Offline,H,1/17/2019,785643756.0,8301.0,279.84,174.76,2322951.84,1450682.76,872269.08
North America,Namibia,Office Supplies,Online,C,1/15/2022,206520497.0,2859.0,643.16,518.47,1838794.44,1482305.73,356488.71
Europe,Estonia,Cosmetics,Online,C,5/23/2017,790149009.0,1505.0,439.75,264.87,661823.75,398629.35,263194.4
Europe,Norway,Cereal,Online,M,10/8/2020,100640618.0,650.0,191.0,108.74,124150.0,70681.0,53469.0
North America,Ethiopia,Personal Care,Online,L,5/27/2022,272419154.0,3736.0,89.69,62.19,335081.84,232341.84,102740.0
North America,Burundi,Meat,Offline,M,2/27/2023,360220944.0,6237.0,421.9,364.7,2631390.3,2274633.9,356756.4
Asia,Thailand,Beverages,Offline,C,10/1/2020,389094817.0,658.0,48.74,32.65,32070.92,21483.7,10587.22
North America,Mauritius ,Meat,Offline,L,5/19/2018,904402101.0,1534.0,391.97,338.82,601281.98,519749.88,81532.1
North America,Uganda,Vegetables,Online,H,2/13/2016,721816623.0,434.0,148.02,87.37,64240.68,37918.58,26322.1
Europe,Luxembourg,Snacks,Online,H,2/1/2017,977324712.0,955.0,139.94,89.37,133642.7,85348.35,48294.35
North America,The Gambia,Beverages,Online,C,9/7/2023,177225196.0,3729.0,43.24,28.97,161241.96,108029.13,53212.83
Middle East and North Africa,United Arab Emirates,Beverages,Online,M,3/27/2016,948129403.0,1415.0,43.95,29.44,62189.25,41657.6,20531.65
Central America and the Caribbean,Haiti,Meat,Offline,M,3/15/2022,586961162.0,3706.0,397.98,344.02,1474913.88,1274938.12,199975.76
Europe,Luxembourg,Snacks,Online,H,9/7/2016,510956799.0,2326.0,141.5,90.37,329129.0,210200.62,118928.38
Central America and the Caribbean,Saint Lucia,Meat,Online,L,6/26/2019,407665145.0,6030.0,394.44,340.96,2378473.2,2055988.8,322484.4
Middle East and North Africa,Iraq,Meat,Online,C,3/9/2023,484947526.0,5604.0,421.9,364.7,2364327.6,2043778.8,320548.8
Europe,Armenia,Fruits,Online,M,3/23/2017,120977771.0,8866.0,9.88,7.33,87596.08,64987.78,22608.3
Asia,Singapore,Personal Care,Offline,M,3/29/2019,114242208.0,5663.0,88.84,61.6,503100.92,348840.8,154260.12
Middle East and North Africa,Jordan,Clothes,Online,M,1/5/2023,433539664.0,2876.0,119.17,39.08,342732.92,112394.08,230338.84
Australia and Oceania,Tonga,Meat,Online,M,5/21/2017,667981469.0,9416.0,436.35,377.19,4108671.6,3551621.04,557050.56
Europe,Bulgaria,Snacks,Offline,L,3/11/2021,476991450.0,1225.0,142.54,91.03,174611.5,111511.75,63099.75
North America,Sudan,Office Supplies,Online,C,6/23/2016,940305936.0,6277.0,641.44,517.08,4026318.88,3245711.16,780607.72
North America,Mali,Baby Food,Online,H,12/28/2017,507973754.0,9577.0,235.67,147.18,2257011.59,1409542.86,847468.73
Asia,Myanmar,Cosmetics,Online,L,4/6/2019,850356233.0,8161.0,460.68,277.47,3759609.48,2264432.67,1495176.81
Asia,Sri Lanka,Meat,Offline,L,9/5/2016,108127200.0,6096.0,452.67,391.29,2759476.32,2385303.84,374172.48
Middle East and North Africa,Azerbaijan,Office Supplies,Online,C,10/27/2022,542272984.0,9481.0,643.16,518.47,6097799.96,4915614.07,1182185.89
North America,Tanzania,Office Supplies,Offline,C,4/11/2017,884092414.0,1447.0,664.11,535.36,960967.17,774665.92,186301.25
North America,Swaziland,Household,Offline,C,7/17/2018,385196816.0,7153.0,713.1,536.25,5100804.3,3835796.25,1265008.05
Asia,Myanmar,Meat,Online,L,9/9/2019,167510020.0,8792.0,394.44,340.96,3467916.48,2997720.32,470196.16
Europe,Denmark,Beverages,Online,H,6/5/2022,973268353.0,589.0,48.07,32.2,28313.23,18965.8,9347.43
North America,Seychelles ,Fruits,Offline,M,2/28/2018,915020644.0,3797.0,8.73,6.47,33147.81,24566.59,8581.22
North America,Madagascar,Cosmetics,Offline,C,1/31/2022,425628221.0,1704.0,465.35,280.28,792956.4,477597.12,315359.28
Central America and the Caribbean,Saint Lucia,Beverages,Online,L,5/18/2016,908264911.0,4626.0,43.95,29.44,203312.7,136189.44,67123.26
North America,Mauritius ,Cereal,Online,C,2/25/2022,686417043.0,4912.0,213.22,121.39,1047336.64,596267.68,451068.96
Asia,Taiwan,Household,Online,H,12/7/2019,853883445.0,1941.0,675.75,508.17,1311630.75,986357.97,325272.78
Middle East and North Africa,Morocco,Cereal,Online,C,8/8/2023,324775445.0,7126.0,200.03,113.88,1425413.78,811508.88,613904.9
Middle East and North Africa,Jordan,Cereal,Online,C,3/3/2023,783516871.0,8909.0,200.03,113.88,1782067.27,1014556.92,767510.35
Asia,China,Cosmetics,Offline,H,4/15/2023,834844052.0,7762.0,399.45,240.59,3100530.9,1867459.58,1233071.32
Asia,South Korea,Snacks,Offline,H,11/20/2023,953805816.0,1191.0,167.26,106.82,199206.66,127222.62,71984.04
Sub-Saharan Africa,United States of America,Office Supplies,Online,L,5/22/2016,335763490.0,8733.0,641.44,517.08,5601695.52,4515659.64,1086035.88
Asia,Uzbekistan,Cosmetics,Online,H,3/18/2018,946390902.0,6954.0,419.34,252.57,2916090.36,1756371.78,1159718.58
Europe,Finland,Vegetables,Offline,L,2/14/2019,771674382.0,4453.0,158.59,93.61,706201.27,416845.33,289355.94
Asia,Philippines,Cereal,Online,C,4/23/2021,567912757.0,6860.0,204.35,116.34,1401841.0,798092.4,603748.6
Middle East and North Africa,Libya,Office Supplies,Offline,L,11/18/2020,711717355.0,1836.0,699.12,563.58,1283584.32,1034732.88,248851.44
North America,South Sudan,Office Supplies,Online,L,12/11/2023,750012004.0,4074.0,618.24,498.38,2518709.76,2030400.12,488309.64
Middle East and North Africa,Kuwait,Snacks,Online,C,7/9/2022,750033032.0,297.0,140.03,89.43,41588.91,26560.71,15028.2
Central America and the Caribbean,Saint Lucia,Household,Offline,H,6/28/2021,849329268.0,4259.0,680.42,511.68,2897908.78,2179245.12,718663.66
Central America and the Caribbean,Grenada,Meat,Online,M,3/22/2019,805762040.0,1748.0,394.44,340.96,689481.12,595998.08,93483.04
North America,Namibia,Cereal,Online,H,7/4/2016,447505176.0,5581.0,201.4,114.66,1124013.4,639917.46,484095.94
Australia and Oceania,Solomon Islands,Beverages,Offline,L,3/14/2021,123045003.0,606.0,49.88,33.42,30227.28,20252.52,9974.76
Asia,Philippines,Household,Offline,H,9/21/2023,251180350.0,8702.0,632.31,475.5,5502361.62,4137801.0,1364560.62
Asia,Turkmenistan,Household,Online,M,4/10/2018,871022546.0,3782.0,713.1,536.25,2696944.2,2028097.5,668846.7
Europe,Kosovo,Fruits,Online,L,5/2/2016,291995418.0,6788.0,8.62,6.39,58512.56,43375.32,15137.24
Asia,Singapore,Clothes,Online,C,6/13/2020,943835294.0,692.0,117.99,38.7,81649.08,26780.4,54868.68
North America,South Africa,Office Supplies,Offline,L,4/18/2017,826591002.0,5501.0,664.11,535.36,3653269.11,2945015.36,708253.75
Middle East and North Africa,Lebanon,Cosmetics,Online,M,5/1/2017,260623872.0,3250.0,439.75,264.87,1429187.5,860827.5,568360.0
Australia and Oceania,Samoa ,Vegetables,Online,L,9/21/2020,536607730.0,3007.0,167.61,98.93,504003.27,297482.51,206520.76
Australia and Oceania,Samoa ,Personal Care,Offline,L,2/17/2023,765528905.0,5870.0,88.17,61.14,517557.9,358891.8,158666.1
Europe,Hungary,Baby Food,Online,M,1/25/2017,128686225.0,9968.0,235.67,147.18,2349158.56,1467090.24,882068.32
Middle East and North Africa,Pakistan,Vegetables,Offline,L,4/1/2021,127691018.0,5465.0,143.22,84.53,782697.3,461956.45,320740.85
Australia and Oceania,Tonga,Vegetables,Offline,C,5/21/2023,534467113.0,9550.0,141.08,83.27,1347314.0,795228.5,552085.5
Australia and Oceania,Vanuatu,Personal Care,Online,H,12/18/2016,741250836.0,1450.0,82.74,57.37,119973.0,83186.5,36786.5
Australia and Oceania,Vanuatu,Snacks,Online,M,5/2/2020,210591018.0,7417.0,165.45,105.66,1227142.65,783680.22,443462.43
Central America and the Caribbean,Grenada,Vegetables,Online,C,3/6/2020,725348985.0,5738.0,167.61,98.93,961746.18,567660.34,394085.84
North America,Mozambique,Household,Offline,H,8/11/2017,538698565.0,1731.0,718.44,540.27,1243619.64,935207.37,308412.27
Central America and the Caribbean,Cuba,Cereal,Offline,H,5/20/2022,224126088.0,2745.0,213.22,121.39,585288.9,333215.55,252073.35
Middle East and North Africa,Algeria,Beverages,Online,M,10/22/2018,425430381.0,3159.0,51.81,34.71,163667.79,109648.89,54018.9
North America,Equatorial Guinea,Vegetables,Offline,M,7/20/2022,506722772.0,9383.0,147.2,86.88,1381177.6,815195.04,565982.56
North America,Uganda,Office Supplies,Offline,C,4/7/2016,802427089.0,4862.0,641.44,517.08,3118681.28,2514042.96,604638.32
Asia,Thailand,Cosmetics,Offline,H,7/14/2023,367279660.0,5068.0,399.45,240.59,2024412.6,1219310.12,805102.48
Middle East and North Africa,Turkey,Personal Care,Offline,H,5/10/2019,126329314.0,2506.0,88.84,61.6,222633.04,154369.6,68263.44
Asia,Kazakhstan,Personal Care,Offline,H,2/1/2022,624937379.0,1713.0,89.69,62.19,153638.97,106531.47,47107.5
Central America and the Caribbean,Nicaragua,Snacks,Offline,H,8/20/2016,678777682.0,4255.0,141.5,90.37,602082.5,384524.35,217558.15
Asia,Kazakhstan,Cereal,Online,L,4/12/2023,523836553.0,3732.0,200.03,113.88,746511.96,425000.16,321511.8
North America,Chad,Cereal,Offline,C,4/8/2023,466412818.0,772.0,200.03,113.88,154423.16,87915.36,66507.8
Australia and Oceania,East Timor,Fruits,Online,H,1/27/2018,433117806.0,8039.0,8.73,6.47,70180.47,52012.33,18168.14
Europe,Lithuania,Cosmetics,Offline,L,1/6/2018,420875346.0,5223.0,419.34,252.57,2190212.82,1319173.11,871039.71
North America,Eritrea,Cosmetics,Online,C,11/26/2020,946921765.0,4048.0,444.24,267.57,1798283.52,1083123.36,715160.16
North America,Zambia,Household,Offline,H,4/4/2016,798805892.0,3270.0,725.57,545.63,2372613.9,1784210.1,588403.8
North America,Liberia,Household,Offline,M,5/17/2017,184389054.0,3674.0,718.44,540.27,2639548.56,1984951.98,654596.58
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,M,9/9/2019,281845080.0,3077.0,675.75,508.17,2079282.75,1563639.09,515643.66
Central America and the Caribbean,Jamaica,Meat,Online,H,9/14/2019,989660298.0,1330.0,394.44,340.96,524605.2,453476.8,71128.4
Europe,Albania,Vegetables,Online,C,10/5/2018,476633536.0,5310.0,151.37,89.34,803774.7,474395.4,329379.3
Asia,Japan,Baby Food,Offline,C,4/13/2019,131876122.0,3930.0,279.84,174.76,1099771.2,686806.8,412964.4
North America,Equatorial Guinea,Meat,Offline,L,12/15/2020,514811885.0,3132.0,397.31,343.45,1244374.92,1075685.4,168689.52
Asia,Myanmar,Office Supplies,Online,C,12/20/2016,905177152.0,889.0,641.44,517.08,570240.16,459684.12,110556.04
Middle East and North Africa,Libya,Personal Care,Offline,H,7/2/2020,653020751.0,2207.0,80.44,55.77,177531.08,123084.39,54446.69
Asia,Mongolia,Meat,Online,L,1/31/2021,528704011.0,4121.0,418.24,361.54,1723567.04,1489906.34,233660.7
Asia,Singapore,Snacks,Offline,M,2/5/2023,472900760.0,699.0,167.26,106.82,116914.74,74667.18,42247.56
Central America and the Caribbean,The Bahamas,Baby Food,Offline,L,7/23/2019,946597325.0,8039.0,279.84,174.76,2249633.76,1404895.64,844738.12
Asia,Sri Lanka,Office Supplies,Offline,L,10/6/2020,681092536.0,9272.0,699.12,563.58,6482240.64,5225513.76,1256726.88
